 구분 , 인원 , 총수입금액(억 원) , 근로소득금액(억 원) , 소득공제액(억 원) , 과세표준(억 원) , 결정세액(억 원)
상위 0.1% 내,17334,113539,109437,8396,105143,34316
상위 0.2% 내,17333,51985,48990,6040,45945,13040
상위 0.3% 내,17334,40984,38132,5710,35275,9288
상위 0.4% 내,17333,35296,32514,5592,29704,7310
상위 0.5% 내,17333,31846,29098,5562,26284,6113
상위 0.6% 내,17334,29535,26811,5574,23961,5328
상위 0.7% 내,17333,27808,25102,5582,22226,4749
상위 0.8% 내,17334,26494,23797,5555,20938,4319
상위 0.9% 내,17333,25451,22766,5550,19901,3965
상위 1.0% 내,17333,24597,21919,5523,19074,3689
상위 2% 내,173334,218277,191898,54944,163330,27667
상위 3% 내,173334,190337,164452,53864,136470,20160
상위 4% 내,173334,172615,147145,52626,119988,16380
상위 5% 내,173334,159229,134378,51028,108199,13712
상위 6% 내,173334,148570,124249,49891,98679,11532
상위 7% 내,173334,140351,116440,48802,91550,9946
상위 8% 내,173334,133883,110295,48499,85388,8603
상위 9% 내,173334,128472,105152,48161,80311,7586
상위 10% 내,173334,123587,100514,47525,76061,6843
상위 11% 내,173334,119004,96154,47214,71788,5893
상위 12% 내,173334,114683,92053,46542,68140,5380
상위 13% 내,173334,110618,88192,46037,64583,4916
상위 14% 내,173334,106737,84501,45430,61306,4507
상위 15% 내,173334,103266,81204,44367,58900,4262
상위 16% 내,173334,99993,78096,44151,55845,3858
상위 17% 내,173333,96817,75079,43371,53446,3569
상위 18% 내,173334,93735,72148,42786,50947,3218
상위 19% 내,173334,90745,69310,42114,48630,2939
상위 20% 내,173334,87897,66604,41449,46447,2682
상위 21% 내,173334,85221,64063,40878,44342,2432
상위 22% 내,173334,82751,61716,40139,42614,2243
상위 23% 내,173334,80401,59481,39689,40710,2021
상위 24% 내,173334,78116,57335,39166,38949,1825
상위 25% 내,173334,75944,55453,38381,37563,1681
상위 26% 내,173334,73823,53650,37620,36203,1539
상위 27% 내,173334,71857,51978,36864,34991,1413
상위 28% 내,173334,69913,50328,36215,33700,1277
상위 29% 내,173334,68037,48733,35521,32515,1150
상위 30% 내,173334,66234,47200,34839,31394,1039
상위 31% 내,173334,64472,45703,34163,30311,935
상위 32% 내,173334,62820,44297,33345,29477,863
상위 33% 내,173334,61314,43018,32833,28480,770
상위 34% 내,173333,59800,41731,32153,27646,697
상위 35% 내,173334,58287,40444,31560,26727,620
상위 36% 내,173334,56808,39188,30969,25839,562
상위 37% 내,173334,55433,38020,30353,25080,514
상위 38% 내,173334,53990,36794,29743,24247,465
상위 39% 내,173334,52597,35610,29123,23473,423
상위 40% 내,173334,51415,34602,28633,22778,389
상위 41% 내,173334,50116,33499,28019,22099,352
상위 42% 내,173334,48882,32451,27435,21448,325
상위 43% 내,173334,47667,31420,26944,20723,296
상위 44% 내,173334,46484,30411,26508,19974,269
상위 45% 내,173334,45403,29493,26174,19228,247
상위 46% 내,173334,44269,28529,25650,18617,230
상위 47% 내,173334,43205,27623,25279,17926,211
상위 48% 내,173334,42127,26708,24817,17308,195
상위 49% 내,173334,41324,26024,24592,16731,180
상위 50% 내,173333,40311,25165,24159,16156,166
상위 51% 내,173334,39384,24377,23869,15513,153
상위 52% 내,173334,38438,23572,23522,14914,142
상위 53% 내,173334,37514,22790,23218,14297,133
상위 54% 내,173334,36626,22030,22882,13744,122
상위 55% 내,173334,35726,21270,22685,13043,113
상위 56% 내,173334,34971,20624,22309,12661,106
상위 57% 내,173334,34127,19907,21981,12147,97
상위 58% 내,173334,33309,19214,21685,11626,89
상위 59% 내,173334,32516,18539,21335,11183,80
상위 60% 내,173334,31696,17840,21005,10691,74
상위 61% 내,173334,31098,17334,20925,10180,69
상위 62% 내,173334,30339,16688,20487,9858,59
상위 63% 내,173334,29481,15958,20211,9278,49
상위 64% 내,173334,28810,15390,20008,8811,41
상위 65% 내,173334,27987,14688,19586,8411,36
상위 66% 내,173334,27207,14024,19403,7819,26
