 구분 , 인원 , 총수입금액(억 원) , 근로소득금액(억 원) , 소득공제액(억 원) , 과세표준(억 원) , 결정세액 (억 원)
상위 0.1% 내,18577,142103,137155,10567,131536,46779
상위 0.2% 내,18578,61985,58539,7195,54790,16403
상위 0.3% 내,18578,48935,45715,6679,42256,11764
상위 0.4% 내,18578,42398,39277,6447,35951,9469
상위 0.5% 내,18578,38310,35251,6365,31945,8016
상위 0.6% 내,18578,35578,32552,6327,29251,7043
상위 0.7% 내,18578,33578,30576,6248,27330,6360
상위 0.8% 내,18578,32021,29044,6294,25727,5797
상위 0.9% 내,18577,30726,27767,6243,24483,5381
상위 1.0% 내,18578,29623,26677,6224,23399,5004
상위 2% 내,185779,258977,230160,60750,198227,37762
상위 3% 내,185779,220472,192385,58657,161815,25848
상위 4% 내,185779,198834,171176,57548,141286,20617
상위 5% 내,185779,183407,156148,56035,127372,17447
상위 6% 내,185779,171706,145010,55070,116636,14978
상위 7% 내,185778,162937,136678,54585,108352,13096
상위 8% 내,185779,155878,129972,54452,101426,11504
상위 9% 내,185779,149524,123936,54106,95418,10142
상위 10% 내,185779,143626,118333,53424,90202,9045
상위 11% 내,185779,138236,113212,52782,85454,8154
상위 12% 내,185779,133331,108552,51775,81556,7534
상위 13% 내,185779,128785,104235,51641,77144,6586
상위 14% 내,185778,124428,100094,51034,73394,6013
상위 15% 내,185779,120264,96138,50260,70004,5565
상위 16% 내,185779,116272,92345,49414,66858,5165
상위 17% 내,185779,112510,88772,48222,64288,4869
상위 18% 내,185779,109073,85507,47759,61314,4466
상위 19% 내,185779,105645,82251,46983,58662,4119
상위 20% 내,185779,102443,79208,46335,56108,3767
상위 21% 내,185778,99433,76349,45486,53947,3484
상위 22% 내,185779,96575,73634,44850,51725,3207
상위 23% 내,185779,93861,71055,44169,49692,2958
상위 24% 내,185779,91304,68626,43522,47782,2732
상위 25% 내,185779,88912,66353,42723,46189,2556
상위 26% 내,185779,86620,64177,42191,44429,2343
상위 27% 내,185778,84365,62036,41592,42773,2154
상위 28% 내,185779,82218,60132,40903,41315,1991
상위 29% 내,185779,80126,58354,40101,40025,1854
상위 30% 내,185779,78143,56669,39251,38892,1732
상위 31% 내,185779,76252,55062,38616,37636,1583
상위 32% 내,185779,74406,53493,37873,36533,1457
상위 33% 내,185779,72634,51986,37211,35423,1332
상위 34% 내,185778,70941,50547,36580,34361,1219
상위 35% 내,185779,69290,49143,35843,33447,1121
상위 36% 내,185779,67688,47782,35230,32458,1017
상위 37% 내,185779,66357,46650,34591,31766,964
상위 38% 내,185779,64881,45395,34027,30854,869
상위 39% 내,185779,63443,44173,33482,29961,780
상위 40% 내,185779,62032,42974,32907,29125,713
상위 41% 내,185778,60658,41806,32424,28234,649
상위 42% 내,185779,59394,40732,31774,27620,603
상위 43% 내,185779,58091,39624,31268,26823,550
상위 44% 내,185779,56835,38557,30733,26102,502
상위 45% 내,185779,55709,37600,30310,25399,470
상위 46% 내,185779,54596,36654,29838,24758,429
상위 47% 내,185778,53470,35696,29309,24161,396
상위 48% 내,185779,52356,34749,28844,23512,363
상위 49% 내,185779,51265,33822,28438,22827,337
상위 50% 내,185779,50204,32920,27990,22214,314
상위 51% 내,185779,49177,32047,27754,21423,290
상위 52% 내,185779,48191,31209,27306,20885,271
상위 53% 내,185779,47149,30323,26958,20191,252
상위 54% 내,185778,46180,29500,26552,19628,236
상위 55% 내,185779,45159,28632,26185,18974,219
상위 56% 내,185779,44420,28004,26038,18382,207
상위 57% 내,185779,43502,27223,25565,17937,192
상위 58% 내,185779,42566,26428,25318,17248,177
상위 59% 내,185779,41797,25774,24927,16870,170
상위 60% 내,185779,40962,25064,24546,16416,163
상위 61% 내,185778,40184,24403,24308,15876,156
상위 62% 내,185779,39429,23762,23829,15600,152
상위 63% 내,185779,38625,23078,23833,14792,136
상위 64% 내,185779,37902,22464,23635,14267,128
상위 65% 내,185779,37174,21844,22935,14239,130
상위 66% 내,185779,36388,21177,23061,13327,112
상위 67% 내,185778,35715,20604,22710,13005,109
상위 68% 내,185779,35309,20259,22433,12876,106
상위 69% 내,185779,34931,19938,22559,12372,96
상위 70% 내,185779,33991,19140,21747,12244,96
상위 71% 내,185779,33159,18432,21938,11221,77
상위 72% 내,185779,32091,17524,21219,10872,70
상위 73% 내,185779,31031,16623,20981,10050,56
상위 74% 내,185778,29964,15716,20533,9431,44
상위 75% 내,185779,28981,14881,20338,8643,31
상위 76% 내,185779,27903,13996,19714,8189,20
상위 77% 내,185779,26807,13298,19175,7632,10
상위 78% 내,185779,25789,12687,18396,7393,5
상위 79% 내,185779,24547,11941,17628,6919,1
상위 80% 내,185779,23366,11233,16967,6399,0
상위 81% 내,185778,22287,10586,16387,5900,0
상위 82% 내,185779,21203,9935,15844,5359,0
상위 83% 내,185779,19996,9211,15221,4775,0
상위 84% 내,185779,18711,8440,14567,4144,0
상위 85% 내,185779,17551,7744,13930,3621,0
상위 86% 내,185779,16266,6973,13212,3054,0
상위 87% 내,185778,15032,6233,12633,2399,0
상위 88% 내,185779,13768,5474,11909,1859,0
상위 89% 내,185779,12504,4716,11225,1279,0
상위 90% 내,185779,11277,3980,10584,693,0
상위 91% 내,185779,10022,3227,9874,148,0
상위 92% 내,185779,8854,2657,8853,1,0
상위 93% 내,185779,7659,2298,7659,0,0
상위 94% 내,185778,6501,1951,6501,0,0
상위 95% 내,185779,5506,1652,5506,0,0
상위 96% 내,185779,4391,1317,4391,0,0
상위 97% 내,185779,3351,1005,3351,0,0
상위 98% 내,185779,2419,726,2419,0,0
상위 99% 내,185779,1309,393,1309,0,0
상위 100% 내,185779,226,68,226,0,0
