 구분 , 인원 , 총급여(억 원) , 근로소득금액(억 원) , 소득공제액(억 원) , 과세표준(억 원) , 결정세액 (억 원)
 상위 0.1% 내 ,19495,162470,156854,7188,149712,54770
 상위 0.2% 내 ,19495,70171,66374,4563,61823,19072
 상위 0.3% 내 ,19496,55443,51918,4110,47815,13786
 상위 0.4% 내 ,19495,47814,44429,3867,40566,11098
 상위 0.5% 내 ,19495,42931,39629,3765,35866,9346
 상위 0.6% 내 ,19496,39541,36299,3683,32617,8156
 상위 0.7% 내 ,19495,37072,33874,3680,30196,7244
 상위 0.8% 내 ,19495,35191,32019,3599,28421,6631
 상위 0.9% 내 ,19496,33708,30567,3650,26917,6095
 상위 1.0% 내 ,19495,32438,29317,3619,25699,5674
 상위 2% 내 ,194954,282356,251888,35400,216492,42864
 상위 3% 내 ,194953,238692,209068,33703,175369,29165
 상위 4% 내 ,194954,214650,185503,33240,152264,22907
 상위 5% 내 ,194953,197930,169135,32197,136939,19393
 상위 6% 내 ,194954,185587,157301,31171,126130,16935
 상위 7% 내 ,194954,176347,148522,31915,116609,14724
 상위 8% 내 ,194953,168540,141107,31935,109172,13004
 상위 9% 내 ,194954,161682,134591,31563,103029,11649
 상위 10% 내 ,194953,155330,128556,31401,97156,10380
 상위 11% 내 ,194954,149503,123021,30915,92106,9401
 상위 12% 내 ,194954,144132,117918,30338,87580,8599
 상위 13% 내 ,194953,139168,113203,29502,83701,7992
 상위 14% 내 ,194954,134476,108744,29886,78859,6936
 상위 15% 내 ,194953,130015,104506,29291,75215,6424
 상위 16% 내 ,194954,125783,100486,28685,71802,5968
 상위 17% 내 ,194954,121730,96636,27972,68663,5554
 상위 18% 내 ,194953,117947,93042,26842,66200,5248
 상위 19% 내 ,194954,114558,89822,26541,63282,4850
 상위 20% 내 ,194953,111182,86616,25912,60704,4505
 상위 21% 내 ,194954,108031,83622,25378,58244,4167
 상위 22% 내 ,194953,105033,80774,24755,56019,3833
 상위 23% 내 ,194954,102185,78068,24231,53837,3547
 상위 24% 내 ,194954,99443,75464,23716,51747,3277
 상위 25% 내 ,194953,96855,73005,23174,49831,3033
 상위 26% 내 ,194954,94403,70675,22432,48243,2836
 상위 27% 내 ,194953,92146,68531,22142,46389,2589
 상위 28% 내 ,194954,89894,66392,21678,44714,2378
 상위 29% 내 ,194954,87706,64340,21233,43108,2179
 상위 30% 내 ,194953,85633,62553,20744,41810,2022
 상위 31% 내 ,194954,83591,60817,20285,40532,1866
 상위 32% 내 ,194953,81698,59209,19714,39495,1749
 상위 33% 내 ,194954,79869,57654,19451,38202,1579
 상위 34% 내 ,194954,78077,56131,18939,37192,1461
 상위 35% 내 ,194953,76377,54685,18709,35976,1305
 상위 36% 내 ,194954,74726,53282,18242,35039,1207
 상위 37% 내 ,194953,73109,51908,17830,34077,1097
 상위 38% 내 ,194954,71530,50565,17424,33141,1001
 상위 39% 내 ,194954,70146,49389,16954,32435,952
 상위 40% 내 ,194953,68767,48217,16753,31464,835
 상위 41% 내 ,194954,67406,47060,16431,30629,768
 상위 42% 내 ,194953,66000,45865,16076,29789,704
 상위 43% 내 ,194954,64674,44738,15702,29036,648
 상위 44% 내 ,194953,63387,43644,15447,28197,598
 상위 45% 내 ,194954,62167,42607,15032,27575,554
 상위 46% 내 ,194954,60923,41549,14704,26845,513
 상위 47% 내 ,194953,59718,40525,14429,26096,467
 상위 48% 내 ,194954,58607,39581,14146,25435,449
 상위 49% 내 ,194953,57582,38710,13948,24762,403
 상위 50% 내 ,194954,56440,37739,13609,24129,377
 상위 51% 내 ,194954,55386,36843,13270,23573,347
 상위 52% 내 ,194953,54270,35895,12957,22938,329
 상위 53% 내 ,194954,53246,35024,12732,22292,304
 상위 54% 내 ,194953,52183,34121,12487,21633,287
 상위 55% 내 ,194954,51216,33299,12328,20971,270
 상위 56% 내 ,194954,50243,32471,12065,20406,253
 상위 57% 내 ,194953,49317,31684,11755,19929,246
 상위 58% 내 ,194954,48492,30983,11510,19472,232
 상위 59% 내 ,194953,47597,30223,11311,18912,219
 상위 60% 내 ,194954,46854,29591,11052,18539,214
 상위 61% 내 ,194953,46307,29126,10925,18202,200
 상위 62% 내 ,194954,45436,28386,10752,17633,185
 상위 63% 내 ,194954,44622,27694,10564,17130,176
 상위 64% 내 ,194953,43951,27123,10311,16813,169
 상위 65% 내 ,194954,43116,26413,10052,16361,161
 상위 66% 내 ,194953,42313,25731,7950,17782,208
 상위 67% 내 ,194954,42085,25537,10991,14546,122
 상위 68% 내 ,194954,41724,25231,10584,14646,128
 상위 69% 내 ,194953,40673,24337,9253,15084,144
 상위 70% 내 ,194954,39484,23327,9038,14289,130
 상위 71% 내 ,194953,38233,22263,8608,13655,118
 상위 72% 내 ,194954,36991,21208,8479,12729,102
 상위 73% 내 ,194954,35594,20020,7441,12578,99
 상위 74% 내 ,194953,34519,19106,8536,10570,67
 상위 75% 내 ,194954,33026,17837,7496,10341,62
 상위 76% 내 ,194953,31647,16665,7170,9495,47
 상위 77% 내 ,194954,30249,15476,6863,8614,31
 상위 78% 내 ,194954,28752,14332,6167,8165,17
 상위 79% 내 ,194953,27505,13579,6331,7248,6
 상위 80% 내 ,194954,26051,12706,5723,6983,1
 상위 81% 내 ,194953,24610,11842,5328,6513,0
 상위 82% 내 ,194954,23363,11094,5114,5980,0
 상위 83% 내 ,194953,22007,10280,4951,5329,0
 상위 84% 내 ,194954,20641,9460,4689,4771,0
 상위 85% 내 ,194954,19163,8573,4528,4045,0
 상위 86% 내 ,194953,17749,7725,4266,3459,0
 상위 87% 내 ,194954,16317,6866,4055,2811,0
 상위 88% 내 ,194953,14906,6020,3851,2169,0
 상위 89% 내 ,194954,13552,5207,3672,1535,0
 상위 90% 내 ,194954,12124,4350,3478,872,0
 상위 91% 내 ,194953,10890,3610,3328,282,0
 상위 92% 내 ,194954,9627,2920,2904,16,0
 상위 93% 내 ,194953,8316,2495,2495,0,0
 상위 94% 내 ,194954,7207,2162,2162,0,0
 상위 95% 내 ,194954,6099,1830,1830,0,0
 상위 96% 내 ,194953,4872,1462,1462,0,0
 상위 97% 내 ,194954,3766,1130,1130,0,0
 상위 98% 내 ,194953,2688,806,806,0,0
 상위 99% 내 ,194954,1438,431,431,0,0
 상위 100% 내 ,194954,241,72,72,0,0
